Player_Name,Role,Runs_Scored,Wickets_Taken,T_Matches_Played,T_Innings_Batted,T_Overs_Bowled,Batting_Style,Bowling_Style
Abhishek Sharma,Batting Allrounder,1816.0,0.0,77.0,74.0,0.0,Left hand Bat,Slow Left arm Orthodox
Abishek Porel,Wicketkeeper Batter,661.0,0.0,31.0,29.0,0.0,Left hand Bat,Unknown
Arshdeep Singh,Bowler,0.0,97.0,0.0,0.0,285.4,Left hand Bat,Left arm Medium fast
Avesh Khan,Bowler,0.0,87.0,0.0,0.0,269.5,Right hand Bat,Right arm Fast medium
B Kumar,Bowler,0.0,198.0,0.0,0.0,703.4,Right hand Bat,Right arm Medium
B Sai Sudharsan,Top order Batter,1793.0,0.0,40.0,40.0,0.0,Left hand Bat,Legbreak
BA Stokes,Allrounder,935.0,0.0,45.0,44.0,0.0,Left hand Bat,Right arm Fast medium
BB McCullum,Wicketkeeper Batter,2880.0,0.0,109.0,109.0,0.0,Right hand Bat,"Right arm Medium, Right arm Offbreak"
BJ Hodge,Top order Batter,1400.0,0.0,66.0,63.0,0.0,Right hand Bat,Right arm Offbreak
C Green,Batting Allrounder,707.0,0.0,29.0,28.0,0.0,Right hand Bat,Right arm Fast medium
CA Lynn,Batter,1329.0,0.0,42.0,42.0,0.0,Right hand Bat,Slow Left arm Orthodox
CH Gayle,Allrounder,4965.0,0.0,142.0,141.0,0.0,Left hand Bat,Right arm Offbreak
CH Morris,Bowling Allrounder,618.0,95.0,81.0,51.0,286.4,Right hand Bat,Right arm Fast medium
